name,year,average_rating,users_rated
Munchkin Marvel,2016,7.00793,774
Batman: Gotham City Strategy Game,2013,6.0607,760
Res Arcana,2019,7.93287,1185
Thunderstone Advance: Worlds Collide,2014,7.83125,757
Path of Light and Shadow,2017,7.53032,771
Clubs,2013,6.55943,757
Rory's Story Cubes: Voyages,2011,6.60619,757
Heroica: Fortaan,2011,5.99502,754
Asgard,2012,6.89645,754
Coney Island,2011,6.4791,751
Friese's Landlord,2013,6.49982,758
The Palace of Mad King Ludwig,2017,6.94511,773
Bios: Megafauna,2011,6.97678,750
Bomb Squad,2013,6.56664,756
Rapa Nui,2011,6.82597,746
Field Commander: Napoleon,2011,7.71489,746
13 Minutes: The Cuban Missile Crisis,2017,6.53494,756
PAX,2011,6.82221,746
Ave Roma,2016,7.23197,751
Thebes: The Tomb Raiders,2013,6.88589,745
Miskatonic School for Girls,2012,5.52795,743
Triassic Terror,2013,6.99446,745
Dungeons & Dragons: Rock Paper Wizard,2016,6.78337,761
Enigma,2012,6.43203,743
Kepler-3042,2016,7.47126,756
Telestrations After Dark,2015,7.06515,753
Poseidon's Kingdom,2011,6.86171,740
Artificium,2014,6.08461,744
Geek Out!,2013,5.747,741
Oz Fluxx,2012,6.30407,739
Undermining,2011,6.44155,735
La Cosa Nostra,2014,7.78343,749
DropMix,2017,7.12433,766
Menara,2018,7.48934,782
BATTALIA: The Creation,2015,7.52381,738
Bohnanza: The Duel,2016,7.04884,746
Gloom of Kilforth: A Fantasy Quest Game,2017,7.72733,893
Nautilion,2016,7.32652,741
Lift it!,2012,6.32803,736
10 Minute Heist: The Wizard's Tower,2017,6.57375,741
Tokyo Highway,2016,6.91804,779
Rush & Bash,2015,6.86241,735
Pixie Queen,2017,7.265,738
Hunt for the Ring,2017,7.3398,733
Race! Formula 90,2013,8.03667,729
Empire Engine,2013,5.83486,732
The Dwarves,2012,6.91806,732
SUPERHOT: The Card Game,2017,6.49697,741
Drakon (fourth edition),2015,6.58352,732
Imaginarium,2018,7.2056,738
Mutant Meeples,2012,6.6495,725
Carcassonne: The Dice Game,2011,4.98432,724
DC Comics Deck-Building Game: Rivals â€“ Batman vs The Joker,2014,7.05622,727
Topiary,2017,6.83635,732
Rumble in the House,2011,6.09557,723
Tournament at Camelot,2017,7.21095,732
Buffy the Vampire Slayer: The Board Game,2016,6.97232,722
That's a Question!,2017,5.82759,721
Farmageddon,2012,6.19121,716
Nuts!,2011,5.65287,715
Doodle City,2014,6.35639,714
Dojo Kun,2015,7.0869,721
TSCHAK!,2011,6.39383,712
SpaceCorp,2018,7.76416,795
Guilds of Cadwallon,2013,6.48435,711
Carnival Zombie,2013,7.19785,711
Feudality,2011,6.49356,710
Martians: A Story of Civilization,2016,6.58397,716
Rolling Freight,2012,6.83039,711
Xenon Profiteer,2015,7.23959,715
Piraten kapern,2012,6.38868,721
Potato Man,2013,6.69672,713
Stellar Conflict,2015,6.56157,710
Fate of the Elder Gods,2017,7.31796,718
Days of Ire: Budapest 1956,2016,7.44589,709
Aeroplanes: Aviation Ascendant,2012,6.62189,703
Munchkin Pathfinder,2013,6.36439,709
Versailles,2014,6.5157,703
Sentinel Tactics: The Flame of Freedom,2014,6.73809,702
Crown of Emara,2018,7.48002,773
Circle the Wagons,2017,7.27354,725
Minecraft Card Game?,2015,5.72097,700
One Night Ultimate Alien,2017,7.18339,712
Chaosmos,2015,6.9786,686
Kerala: The Way of the Elephant,2016,6.8576,712
Guns & Steel,2015,6.43229,693
Nosferatu,2013,6.61292,685
Too Many Bones: Undertow,2018,8.95892,718
Solenia,2018,7.30611,792
Food Fight,2011,6.04517,686
Planet,2018,6.79261,787
Go Cuckoo!,2016,6.82149,691
Endangered Orphans of Condyle Cove,2017,6.4281,691
EkÃ¶,2015,7.00181,679
4 Gods,2016,6.17261,691
Archer: Once You Go Blackmail...,2016,7.18185,684
Eruption,2011,6.37408,679
Trieste,2013,6.69472,677
Game of Thrones: The Iron Throne,2016,6.89342,685
Kaosball: The Fantasy Sport of Total Domination,2014,6.76783,679
Flick 'em Up!: Dead of Winter,2017,6.91222,709
Twin Tin Bots,2013,6.42549,677
The Shipwreck Arcana,2017,7.54312,687
Campy Creatures,2017,7.08473,682
iKNOW,2012,6.34014,678
Sultaniya,2014,6.60059,679
Finished!,2017,6.83601,693
Desperados of Dice Town,2014,6.19241,669
The Game: Extreme,2016,7.04385,679
Sol:  Last Days of a Star,2017,7.64969,685
Ohne Furcht und Adel,2012,7.09279,684
Enchanters,2016,7.1079,673
Seikatsu,2017,7.23474,683
Ooga Booga,2011,6.00988,672
Leo,2016,6.71038,678
Tenzi,2011,4.84656,671
Call to Adventure,2019,7.52774,825
Little Devils,2012,6.13008,662
Doodle Quest,2014,6.76915,667
Grimslingers,2015,6.51335,667
Exoplanets,2015,6.63507,665
Tem-Purr-A,2011,6.09067,670
Micropolis,2018,6.94982,687
Sushi Dice,2014,5.84737,662
Space Cadets: Away Missions,2015,7.4816,664
Rumble in the Dungeon,2012,6.34138,665
Startups,2017,6.96889,695
Hannibal & Hamilcar,2018,8.52054,690
Anomia: Party Edition,2013,7.101,674
Draco Magi,2014,6.50087,656
Word Slam,2016,7.05036,662
Histrio,2016,6.65,670
Strike of the Eagle,2011,7.64836,652
World of Tanks: Rush,2013,5.94014,659
Bubblee Pop,2016,6.45446,663
MIL (1049),2011,6.6362,650
Empires of the Void,2012,6.76176,649
PIX,2012,6.65457,646
The Reckoners,2018,8.02046,692
Axis & Allies: WWI 1914,2013,7.243,649
Dungeon Command: Curse of Undeath,2012,7.49431,648
InBetween,2017,6.94984,662
Ghost Blitz: 5 to 12,2013,6.96115,649
Pyramids,2017,6.82941,651
The Ares Project,2011,6.68285,639
Upon a Salty Ocean,2011,6.5279,639
Meeple War,2016,6.72386,654
Krazy Wordz,2016,7.42918,651
Saloon Tycoon,2015,7.22572,642
Laser Chess,2011,6.79246,637
The Phantom Society,2013,5.89574,636
Braintopia,2016,6.35316,656
Grog Island,2014,6.62301,637
Titan Race,2015,6.23812,643
Diamonsters,2013,5.62228,635
Gingerbread House,2018,7.05412,682
Unconditional Surrender! World War 2 in Europe,2014,8.37773,647
The Red Dragon Inn 4,2013,7.34212,633
Asking for Trobils,2015,7.10795,635
Dungeon Command: Tyranny of Goblins,2012,7.41239,635
LYNGK,2017,7.65382,643
Pay Dirt,2014,6.80871,630
PiÃ±a Pirata,2014,6.06128,632
Sonar,2017,6.89157,642
What's Up,2016,5.93491,632
7 Ronin,2013,7.0579,633
New Dawn,2014,6.93646,624
Triplock,2017,6.69698,625
Cypher,2014,5.97439,624
[redacted],2014,6.2697,627
Planes,2014,5.98371,619
UGO!,2013,6.62317,622
Shadows: Amsterdam,2018,6.8048,659
Mars Attacks: The Dice Game,2014,5.92995,622
Four Against Darkness,2016,7.69238,650
Navajo Wars,2013,7.96568,620
Dread Curse,2013,6.38379,618
The New Science,2013,6.496,616
Sky Traders,2012,6.18013,614
5-Minute Marvel,2018,7.15818,671
Bandido,2016,6.56487,656
Pioneers,2017,7.06023,619
Dragoon,2016,7.15442,621
Arena: For the Gods!,2017,6.58738,623
Clue (2-6 players),2012,5.91365,629
Packet Row,2013,6.19887,614
Costa Rica,2016,6.22735,620
Piepmatz,2018,7.27439,667
Pocket Imperium,2013,6.32027,605
Evil Baby Orphanage,2012,5.35516,602
"Goblins Drool, Fairies Rule!",2013,6.15173,608
DC Comics Deck-Building Game: Teen Titans,2015,7.25056,610
After The Virus,2017,7.23949,624
Fealty,2011,6.75671,604
Dawn of the Zeds (Second edition),2013,7.89167,603
Cruel Necessity,2013,7.50194,609
Sunset Over Water,2018,7.07672,624
Monster Lands,2018,7.46157,644
Dawn of the Zeds (Third edition),2016,8.23847,661
Stay Away!,2014,6.17433,605
Salmon Run,2013,6.58738,598
Who Goes There?,2018,7.43427,617
Minerva,2015,7.00293,615
Buccaneer Bones,2013,5.83139,598
The Lord of the Rings Dice Building Game,2013,5.67005,596
Burger Up,2016,6.94245,601
Unlock! The Adventurers of Oz,2018,7.60647,627
oddball Ã„eronauts,2014,5.96894,592
World Monuments,2016,6.30869,593
Zpocalypse,2013,6.10781,589
Melee,2014,5.8945,591
Ticket to Ride: Germany,2017,7.70288,600
Tiny Epic Defenders (Second Edition),2018,7.36055,622
Briefcase,2012,6.33838,587
Munchkin Panic,2014,6.1731,592
Dingo's Dreams,2016,6.4631,592
World Championship Russian Roulette,2017,7.03483,590
Say Bye to the Villains,2012,6.40606,586
Ninja: Legend of the Scorpion Clan,2011,6.51089,585
On Tour,2019,7.29799,657
What Do You Meme?: A Millennial Card Game For Millennials And Their Millennial Friends,2016,5.16823,613
Epic Resort,2014,6.57886,585
Canterbury,2013,6.98807,584
Mammut,2011,6.2883,581
Catch the Moon,2017,6.82138,614
Burgoo,2014,5.74527,581
Puzzle Strike Shadows,2012,7.86361,582
BattleCON: Fate of Indines,2015,8.11142,591
Spring Meadow,2018,7.16949,627
Unlock! The Elite,2017,6.99897,595
Okey Dokey,2016,6.60434,587
Chariot Race,2016,6.02468,583
HATE,2019,7.62915,609
In a Grove,2011,6.34353,581
Raccoon Tycoon,2018,7.46602,698
Castles of Caladale,2017,6.52803,587
Element,2017,7.40674,586
Megaland,2018,6.90228,641
Star Wars: X-Wing (Second Edition),2018,8.52217,612
Ristorante Italia,2011,6.88347,582
Cubist,2014,6.82153,579
The Secret of Monte Cristo,2011,6.17546,575
Spectaculum,2012,6.42529,575
Renegade,2018,7.941,603
Commissioned,2016,7.42589,578
My Happy Farm,2011,6.51364,574
Lost Legacy: Second Chronicle â€“ Vorpal Sword & Whitegold Spire,2015,6.82469,569
Obsession,2018,8.06771,598
Battle For Souls,2013,7.13596,568
Eminent Domain: Battlecruisers,2016,6.47823,577
Mogul,2015,6.8452,573
Sky Tango,2012,6.38726,574
Quartz,2015,6.89595,579
Star Wars: Legion,2018,8.08858,588
Kingdom of Solomon,2012,6.93488,567
Sapiens,2015,6.59243,567
Broom Service: The Card Game,2016,6.22491,581
Golem Arcana,2014,6.70404,564
The World of SMOG: Rise of Moloch,2018,8.0275,569
Coldwater Crown,2017,7.39532,581
Fidelitas,2015,6.32106,568
The Guns of Gettysburg,2013,7.84824,562
A Handful of Stars,2017,7.35683,570
Raxxon,2017,6.85415,568
Sellswords,2014,6.58878,558
Dwar7s Fall,2016,6.78986,561
Epic PVP: Fantasy,2015,6.59911,561
Shadows over the Empire,2013,5.99958,557
BANG! The Duel,2015,6.52259,567
Vampire Empire,2012,6.7516,556
Vikings on Board,2016,6.14415,560
The Walking Dead Board Game,2011,5.10097,556
Sheep & Thief,2014,6.65942,564
Rocky Road Ã  la Mode,2017,6.7828,564
Deckscape: Heist in Venice,2018,7.0238,584
Lady Alice,2012,6.34571,552
Quartermaster General: 1914,2016,7.68143,560
Factory Funner,2016,7.33727,565
Tybor the Builder,2017,6.96006,588
Unlock! A Noside Story,2018,7.22193,573
Legendary: Buffy The Vampire Slayer,2017,7.70673,570
Monster Slaughter,2018,7.71765,593
Round House,2016,7.23746,562
Dead Drop,2015,6.43551,551
"Colonial Twilight: The French-Algerian War, 1954-62",2017,7.90415,568
Dungeon Command: Blood of Gruumsh,2013,7.58576,550
Cardline: Globetrotter,2013,6.43579,549
Dungeon Dice,2014,6.94603,547
Unlock! Tombstone Express,2018,6.86283,571
Joraku,2015,7.11831,556
Warmachine: High Command,2013,6.19336,547
High Frontier (Third Edition),2017,8.4227,549
Hail Hydra,2018,6.86192,579
Monopoly Deal,2014,6.30033,556
Hellapagos,2017,6.72016,575
The Great Dinosaur Rush,2016,7.14747,549
Harvest,2017,7.2827,556
Antarctica,2015,6.3355,545
Resident Evil Deck Building Game: Alliance,2011,6.87574,542
Just Desserts,2015,6.15197,544
Get Lucky,2014,6.02877,545
PapÃ  Paolo,2016,7.00737,540
Belle of the Ball,2014,6.07243,541
Star Trek Deck Building Game: The Original Series,2012,6.70529,539
CrossTalk,2017,7.12661,550
Time 'n' Space,2013,6.2563,538
Rockwell,2013,7.17723,537
Claustrophobia 1643,2019,8.37191,599
Topoum,2016,7.36091,545
Rondo,2012,6.55342,537
Dice Brewing,2014,6.20792,536
Claim,2017,6.96108,562
Exit: The Game â€“ The Sinister Mansion,2018,7.58972,569
Hoax (second edition),2016,6.06965,542
Chimera,2014,7.07898,539
Chicken Caesar,2012,6.73579,530
Pixel Tactics 3,2014,7.18633,531
Gardens,2014,6.63725,530
Bohemian Villages,2016,6.3523,535
Camp Grizzly,2013,7.37509,536
Lost Valley: The Yukon Goldrush 1896,2014,6.83491,531
The King's Abbey,2016,7.02994,531
Tulip Bubble,2017,7.13414,534
Crystal Clans,2018,7.30514,539
Winter Tales,2012,5.92809,527
Band of Brothers: Screaming Eagles,2011,7.8072,527
CapCom Street Fighter Deck-Building Game,2014,6.6474,527
Bling Bling Gemstone,2012,6.55492,526
Hegemonic,2013,6.86861,528
The Lord of the Rings: Journey to Mordor,2015,6.05614,537
Control,2016,6.68975,527
Valhalla,2018,7.52343,528
Ascension: Dawn of Champions,2015,7.42075,533
DinoGenics,2019,7.719,586
Om Nom Nom,2013,6.31462,525
Fairy Tile,2018,6.36688,551
In the Name of Odin,2016,6.74276,525
Key Flow,2018,7.5056,566
Might & Magic Heroes,2012,6.68199,523
Bring Out Yer Dead,2015,6.38405,524
Hengist,2015,4.88369,523
NEOM,2018,7.42235,573
Pirate Dice: Voyage on the Rolling Seas,2012,6.18664,518
Star Trek Deck Building Game: The Next Generation â€“ Next Phase,2012,6.75721,516
Order of the Gilded Compass,2016,6.99566,520
Marvel Dice Masters: The Amazing Spider-Man,2015,7.53549,518
Starfighter,2015,6.91173,521
Defenders of the Last Stand,2016,7.56847,518
A Game of Thrones: Catan â€“ Brotherhood of the Watch,2017,7.17161,540
Time of Soccer,2014,7.67629,520
Infection: Humanity's Last Gasp,2013,7.34812,512
The Lord of the Rings: The Two Towers Deck-Building Game,2013,6.89346,512
Heart of Crown,2011,7.69145,526
Matcha,2015,6.43273,514
Three Cheers for Master,2015,6.3517,511
Super Fantasy: Ugly Snouts Assault,2013,6.86844,514
Indulgence,2017,6.89106,516
Continental Express,2014,6.04386,511
Uncharted: The Board Game,2012,6.54137,509
Too Many Cinderellas,2014,6.42157,511
Deadwood 1876,2018,6.84448,545
Clockwork Wars,2015,7.65311,511
The Walking Dead: All Out War,2016,7.91936,516
Haleakala,2015,6.72979,513
Fluxx: The Board Game,2013,5.69625,510
Tahiti,2012,6.37753,505
Timeline: Star Wars,2015,6.17858,507
Dreamwell,2016,6.66489,511
Trapwords,2018,7.1623,559
Frostgrave,2015,8.09704,520
Dungeons & Dragons: Attack Wing,2014,7.28691,508
Yellow & Yangtze,2018,8.06675,532
Talon,2016,7.68184,516
Small City,2015,7.55268,506
Pluckin' Pairs,2012,6.67849,511
Kharnage,2016,6.40026,510
Kohle & Kolonie,2013,7.49203,501
Legendary: Big Trouble in Little China,2016,7.09217,504
Songbirds,2016,7.01631,537
Bring Your Own Book,2015,7.02212,505
Among Nobles,2015,6.77652,500
The Red Dragon Inn 5,2015,7.6715,503
The Magnates: A Game of Power,2014,6.75561,497
America,2016,6.84315,502
Warhammer Age of Sigmar,2015,6.67408,502
Hotshots,2017,7.13428,510
Burke's Gambit,2016,6.71884,502
Escape the Room: Secret of Dr. Gravely's Retreat,2016,7.04828,501
Apex Theropod Deck-Building Game,2015,7.33859,504
Codenames: Marvel,2017,6.3521,510
Orcs Orcs Orcs,2014,6.4106,500
Now Boarding,2018,7.13428,529
Space Race: The Card Game,2017,7.03787,497
Bellz!,2014,6.05598,498
Carnival,2011,5.76434,491
Loot Island,2017,6.60834,501
Spot it Jr.! Animals,2012,6.33056,497
The Great War,2015,7.82517,498
Qwixx Deluxe,2016,7.16631,501
TrÃ¤xx,2015,6.65777,493
Bremerhaven,2013,6.56336,488
World of Yo-Ho,2016,6.50624,493
Dragon Rampage,2012,6.4583,489
Codinca,2012,6.31433,498
Lucidity: Six-Sided Nightmares,2018,6.53383,496
Strife: Legacy of the Eternals,2014,6.83491,487
Coffee Roaster,2015,7.82865,493
Zug um Zug: Deutschland,2012,7.66249,494
Romans Go Home!,2013,6.04879,486
Pendragon: The Fall of Roman Britain,2017,7.96506,498
Delve,2017,6.66647,493
Spike,2014,6.71766,489
CuBirds,2018,7.0821,529
Iron Curtain,2017,7.3018,499
Firefly: Shiny Dice,2015,5.52602,483
Warehouse 51,2015,6.27413,491
A Column of Fire,2017,6.55512,492
Santo Domingo,2017,6.72229,503
New Salem (first edition),2015,6.41465,486
Cover Your Assets,2011,6.20055,499
Cornish Smuggler,2013,5.95243,482
Scarabya,2018,6.68115,519
Call to Glory,2012,6.59538,485
Beasts of Balance,2016,7.07763,502
"But Wait, There's More!",2011,6.79592,480
Swish,2011,6.14594,483
UBOOT: The Board Game,2019,8.10157,641
Beasty Bar: New Beasts in Town,2015,7.06629,488
Lobotomy,2017,7.44645,483
Kitty Paw,2015,5.90707,479
Team Play,2015,6.93895,488
Biblios Dice,2015,6.87558,478
I Hate Zombies,2015,5.24788,482
Vs System 2PCG: The Marvel Battles,2015,7.05109,479
Rattus Cartus,2012,6.59363,480
Timebomb,2016,7.14179,494
Lost Cities: Rivals,2018,6.96432,514
Hands in the Sea,2016,7.88027,485
Carcassonne: Over Hill and Dale,2015,7.37985,481
Fairytale Gloom,2015,6.55957,479
Doctor Who: Time of the Daleks,2017,7.15068,488
Fuji,2018,6.91328,553
Fresh Fish,2014,6.88551,477
New York,2011,6.64278,475
Bios: Megafauna (Second Edition),2017,7.81348,486
Welcome to Centerville,2017,7.06564,482
Vye: The Card Game of Capture and Control,2013,6.80926,479
Dead Man's Doubloons,2018,6.89808,478
Keltis: Das WÃ¼rfelspiel,2012,6.45654,472
Hollywood,2013,6.50583,472
Smash Up: What Were We Thinking?,2017,7.55672,479
Word Domination,2017,7.14822,478
Rolling Japan,2014,6.26989,470
Hocus,2016,6.671,471
1754: Conquest â€“ The French and Indian War,2017,7.89998,482
For The Win,2012,5.76927,468
Pit Crew,2017,6.51585,476
The U.S. Civil War,2015,8.31131,472
Ascension: Dreamscape,2015,7.67641,476
Monarch,2015,6.83629,474
Catan Histories: Merchants of Europe,2011,6.77093,469
Captains of Industry,2015,7.13646,466
Barons,2011,5.95296,466
Snowblind: Race for the Pole,2016,6.88613,468
Big Trouble in Little China: The Game,2018,7.82019,481
Lignum (second edition),2017,7.86884,482
Micro Robots,2016,6.37436,471
Tail Feathers,2015,7.23181,469
Village Attacks,2017,7.77938,494
"Arkham Noir: Case #1 â€“ The Witch Cult Murders",2017,7.00442,482
Slavika,2012,5.96963,461
Entropy,2015,6.27132,465
Attack on Titan: Deck-Building Game,2016,7.01044,476
Florenza: The Card Game,2013,6.87761,462
Dino Hunt Dice,2012,5.86714,465
Garbage Day!,2016,6.09923,465
Eat Me If You Can!,2012,6.05959,459
The Walking Dead Card Game,2013,5.40393,460
CIV: Carta Impera Victoria,2018,6.29021,469
Fallen,2014,8.0039,459
Samara,2015,6.31734,466
Card of the Dead,2011,5.48824,459
Lignum,2015,7.30255,462
Star Wars: Destiny â€“ Two-Player Game,2017,7.32846,468
Wiraqocha,2011,6.61732,456
Wordsy,2017,7.13633,470
Cappuccino,2013,6.30026,456
Jim Henson's Labyrinth: The Board Game,2016,5.2573,455
Valley of the Kings: Last Rites,2016,7.52088,457
Gear & Piston,2013,5.84458,456
The Walking Dead Board Game: The Best Defense,2013,6.1159,459
Import / Export,2017,7.23403,458
Shadows in Kyoto,2017,7.09053,469
Loop Inc.,2015,6.4505,457
Dilluvia Project,2015,7.31941,455
Pyramix,2014,6.38962,452
Heroica: Waldurk,2011,6.05033,453
Machine of Death: The Game of Creative Assassination,2013,5.45844,451
Ceylon,2018,7.08823,475
X nimmt!,2016,6.80488,459
Halt mal kurz: Das KÃ¤nguru-Spiel,2016,5.89318,462
Gaslands,2017,8.34138,470
Pocket Madness,2016,6.1499,452
Starship Merchants,2012,6.64371,450
Dairyman,2016,6.5536,463
Adventure Time Fluxx,2015,6.46367,452
Guildhall Fantasy: Fellowship,2016,7.23382,458
Ganymede,2018,7.39997,483
Yeti,2016,6.34779,452
The Manhattan Project 2: Minutes to Midnight,2018,7.40516,459
"Red Winter: The Soviet Attack at TolvajÃ¤rvi, Finland â€“ 8-12 December 1939",2012,8.00965,447
Nox,2012,5.76958,447
Dungeon Rush,2016,6.43337,451
Maskmen,2014,6.49892,453
Tetris Link,2011,5.96421,444
"Here, Kitty, Kitty!",2016,6.23151,450
Dark Gothic,2014,6.91764,448
Hack Trick,2015,6.57196,448
Men At Work,2019,7.38727,492
Solarius Mission,2016,7.43228,442
23,2011,6.43926,441
Quarriors! Light vs. Dark,2014,6.88359,442
Lazer Ryderz,2017,6.44463,445
Batman: Gotham City Chronicles,2019,8.49365,856
Aquileia,2011,6.75775,443
WWE Superstar Showdown,2015,6.661,443
Escape from 100 Million B.C.,2017,7.03939,446
Prehistory,2018,7.44937,457
The Rise of Queensdale,2018,7.66603,473
Fleet Wharfside,2015,6.94881,440
Infarkt,2011,6.67666,437
Wrong Chemistry,2012,6.09315,438
Dungeon Busters,2014,5.89662,436
Tomorrow,2013,6.39528,436
Carson City: The Card Game,2018,6.99774,459
The Binding of Isaac: Four Souls,2018,7.06702,475
BANG!: The Walking Dead,2014,6.45193,439
Pyramid Poker,2017,6.6952,440
DC Comics Dice Masters: War of Light,2015,7.37578,438
Galactic Strike Force,2014,5.75356,433
Armageddon,2016,6.66258,439
Healthy Heart Hospital,2015,7.2649,444
Monster Factory,2012,6.36244,435
Dark Seas,2015,6.23848,434
Agility,2016,7.24017,436
Survive: Space Attack!,2015,7.1211,436
Tiefe Taschen,2016,7.28762,436
Urbania,2012,6.47935,432
Warfighter: The WWII Tactical Combat Card Game,2016,7.85847,443
Pizza Theory,2012,6.13933,430
Dust Tactics: Revised Core Set,2011,7.38374,430
"Silent Victory: U.S. Submarines in the Pacific, 1941-45",2016,8.0525,429
Twenty One,2017,6.45364,434
Crappy Birthday,2011,5.65366,429
One Night Werewolf,2012,6.16653,431
The Cards of Cthulhu,2014,6.86736,436
Spellcaster,2014,6.57478,431
Exit: The Game â€“ The Mysterious Museum,2018,7.39724,474
Perdition's Mouth: Abyssal Rift,2016,7.75641,433
Tin Goose,2016,7.03544,430
Cavemen: The Quest for Fire,2012,6.42084,431
Concordia Venus,2018,8.34522,499
Magic: The Gathering â€“ Arena of the Planeswalkers: Shadows over Innistrad,2016,7.03877,428
Dungeon Twister: The Card Game,2013,6.34335,427
Runewars Miniatures Game,2017,7.79562,429
Werewords Deluxe Edition,2018,7.71445,457
Tavarua,2016,7.27974,430
Pericles: The Peloponnesian Wars,2017,8.01912,439
Fun Farm,2013,6.20553,425
Gwent: Monsters and Scoia'tael,2015,6.54944,426
Bretagne,2015,6.72976,425
Crossfire,2017,6.6654,439
ComancherÃ­a: The Rise and Fall of the Comanche Empire,2016,8.07142,430
Alien vs Predator: The Hunt Begins,2015,6.97633,431
HUE,2015,6.44092,425
Maximum Throwdown,2013,5.58621,424
Plato 3000,2012,6.47317,420
Heroica: Nathuz,2011,6.03179,420
Bucket King 3D,2014,6.23833,420
Ruhrschifffahrt 1769-1890,2012,7.27461,425
Metallum,2013,7.21382,427
Trekking the National Parks:  First Edition,2014,7.15924,422
CiÃºb,2014,6.12389,424
Shinobi WAT-AAH!,2014,6.41128,421
Frogriders,2017,6.60739,425
Ticket to Ride: First Journey (Europe),2017,7.04139,438
Bomb Squad Academy,2015,6.4464,420
Leaders of Euphoria: Choose a Better Oppressor,2017,6.60668,422
Mythe,2012,5.96811,421
Space Mission,2011,6.07308,416
Deadline,2017,6.88588,427
Ventura,2011,6.48708,414
W1815,2015,7.52374,417
Wings of Glory: WW1 Rules and Accessories Pack,2012,8.00167,418
Illimat,2017,7.48682,430
Gold!,2011,6.43774,416
Seven7s,2015,6.32507,415
Urbanization,2012,6.2362,413
Tumult Royale,2015,6.56162,425
Crazy Creatures of Dr. Doom,2012,5.62858,416
Summit: The Board Game,2017,7.35331,427
Dino Race,2014,6.14657,414
Pixel Tactics Deluxe,2015,7.49788,417
Craftsmen,2013,6.64378,415
Loonacy,2014,6.33837,414
Titanium Wars,2013,6.21557,413
Birds of a Feather,2015,6.76618,411
Taverna,2015,6.25436,413
Cartoon Network Fluxx,2014,5.89973,415
Secrets of the Lost Tomb,2015,7.35812,413
Leader 1: Hell of the North,2011,7.7309,413
13 Clues,2016,6.8262,419
City of Gears,2012,6.88871,447
Dungeon Alliance,2018,7.70551,417
Field of Glory: The Card Game,2013,6.63705,414
The Gnomes of Zavandor,2011,6.55015,409
The Red Dragon Inn: Battle for Greyport,2016,7.21724,415
Bolt Action,2012,7.78764,409
A Song of Ice & Fire: Tabletop Miniatures Game â€“ Stark vs Lannister Starter Set,2018,8.29407,445
Capo Dei Capi,2013,6.81631,408
The Walled City: Londonderry & Borderlands,2014,6.83297,407
Aristeia!,2017,8.49833,424
Smash Up: Big in Japan,2017,7.56821,414
Brick Party,2015,6.72537,408
Pick-a-Polar Bear,2013,6.47902,407
New Haven,2013,6.54054,404
One Zero One,2013,6.59621,404
JÃ¤ger und SpÃ¤her,2014,6.89359,413
Train of Thought,2011,6.02182,402
Red Flags,2015,6.24732,415
2GM Tactics,2015,7.68605,408
Huida de Silver City,2013,6.92643,407
Vienna,2015,6.48206,404
Realm of Wonder,2014,6.08963,403
Peloponnes Card Game,2015,6.80863,406
Monopoly Empire,2013,5.59114,407
Museum,2019,7.44304,544
Banjooli Xeet,2013,6.45326,402
Quilt Show,2014,6.46986,401
Gunkimono,2018,7.16469,434
Smile,2017,6.6583,414
Guards! Guards! A Discworld Boardgame,2011,5.58549,401
Bottlecap Vikings,2015,5.26486,403
Yomi (second edition),2014,7.73719,402
Catacombs & Castles,2017,7.0533,405
Lunarchitects,2016,7.34862,402
Alba Longa,2011,6.12772,399
DIG,2017,6.47109,403
Small Star Empires,2016,7.26184,408
Spirits of the Wild,2018,7.51801,494
Meteor,2014,6.20209,402
Diavolo,2012,6.01902,400
Monopoly Millionaire Deal Card Game,2012,5.86525,398
What's He Building in There?,2013,6.69965,398
Sola Fide: The Reformation,2016,6.58827,399
18Lilliput,2018,7.49935,434
Matryoshka,2016,6.7164,404
Monster Fluxx,2013,6.09133,398
Fertility,2018,7.19275,421
M.U.L.E. The Board Game,2015,6.62894,397
Assault of the Giants,2017,6.90548,398
Heroica: Draida,2011,5.95814,393
Murder of Crows,2012,6.10601,391
Angry Birds: Knock on Wood,2011,4.58906,392
11,2011,6.15692,396
Corporate America,2013,7.29184,392
Trollhalla,2011,6.67459,392
Aventuria: Adventure Card Game,2016,7.59925,400
Attack on Titan: The Last Stand,2017,6.87031,395
Floating Market,2015,6.26123,396
Souvlaki Wars,2011,6.45454,390
City Council,2013,6.16601,392
1969,2012,6.38931,393
Greedy Greedy Goblins,2016,6.37111,392
The Metagame,2011,6.794,394
King's Gold,2014,6.24457,392
SHH,2015,6.54401,399
Dungeon Degenerates: Hand of Doom,2017,8.60234,407
Bounce-Off,2013,5.75975,399
Expancity,2018,7.08824,414
Mystery of the Temples,2017,6.68382,408
XanadÃº,2012,6.60275,397
Infamy,2013,6.90758,389
Mmm!,2015,6.40719,394
Town Center,2012,6.47223,390
Locke & Key: The Game,2012,6.3263,388
Saltlands,2016,7.07033,392
Siberia: The Card Game,2012,6.79689,393
Touria,2016,6.69085,391
Among the Stars: Revival,2015,7.22197,391
The Last Spike,2015,6.81532,389
Quartermaster General: Victory or Death â€“ The Peloponnesian War,2016,7.24654,393
Gobbit,2012,6.46625,392
Dark Minions,2011,6.13073,386
Warhammer Quest: Blackstone Fortress,2018,8.3315,415
Rise to Power,2014,6.43368,389
A Tale of Pirates,2017,7.22673,397
