Game,Country,Number of Users,Average Rating
Carcassonne: Hunters and Gatherers,Germany,88,7.00
Carcassonne: Hunters and Gatherers,Greece,5,7.78
Carcassonne: Hunters and Gatherers,Hong Kong,5,8.10
Carcassonne: Hunters and Gatherers,Hungary,5,7.20
Carcassonne: Hunters and Gatherers,India,2,7.00
Carcassonne: Hunters and Gatherers,Indonesia,3,8.33
Carcassonne: Hunters and Gatherers,Ireland,3,7.50
Carcassonne: Hunters and Gatherers,Israel,1,9.00
Carcassonne: Hunters and Gatherers,Italy,18,7.47
Carcassonne: Hunters and Gatherers,Japan,13,6.95
Carcassonne: Hunters and Gatherers,Latvia,1,7.50
Carcassonne: Hunters and Gatherers,Lithuania,1,5.00
Carcassonne: Hunters and Gatherers,Macedonia,2,8.50
Carcassonne: Hunters and Gatherers,Malaysia,3,7.93
Carcassonne: Hunters and Gatherers,Mexico,2,7.65
Carcassonne: Hunters and Gatherers,Netherlands,40,7.32
Carcassonne: Hunters and Gatherers,New Zealand,9,7.21
Carcassonne: Hunters and Gatherers,Norway,11,7.18
Carcassonne: Hunters and Gatherers,Poland,11,7.36
Carcassonne: Hunters and Gatherers,Portugal,7,7.80
Carcassonne: Hunters and Gatherers,Romania,2,9.05
Carcassonne: Hunters and Gatherers,Russia,15,7.40
Carcassonne: Hunters and Gatherers,Scotland,3,7.33
Carcassonne: Hunters and Gatherers,Serbia,1,6.00
Carcassonne: Hunters and Gatherers,Singapore,5,7.50
Carcassonne: Hunters and Gatherers,Slovakia,1,4.00
Carcassonne: Hunters and Gatherers,Slovenia,1,7.00
Carcassonne: Hunters and Gatherers,South Africa,2,6.25
Carcassonne: Hunters and Gatherers,South Korea,15,6.90
Carcassonne: Hunters and Gatherers,Spain,44,7.41
Carcassonne: Hunters and Gatherers,Sweden,29,7.48
Carcassonne: Hunters and Gatherers,Switzerland,2,8.00
Carcassonne: Hunters and Gatherers,Taiwan,3,8.50
Carcassonne: Hunters and Gatherers,Thailand,1,7.50
Carcassonne: Hunters and Gatherers,Ukraine,3,8.03
Carcassonne: Hunters and Gatherers,United Kingdom,82,7.58
Carcassonne: Hunters and Gatherers,USA,635,7.46
Carcassonne: Hunters and Gatherers,Wales,2,7.00
Cards Against Humanity,American Samoa,1,8.50
Cards Against Humanity,Argentina,3,6.67
Cards Against Humanity,Australia,47,6.12
Cards Against Humanity,Belgium,3,8.33
Cards Against Humanity,Brazil,9,6.54
Cards Against Humanity,Bulgaria,6,6.50
Cards Against Humanity,Canada,127,7.01
Cards Against Humanity,Chile,4,7.50
Cards Against Humanity,China,1,6.00
Cards Against Humanity,Costa Rica,2,6.00
Cards Against Humanity,Croatia,1,9.00
Cards Against Humanity,Czech Republic,1,5.00
Cards Against Humanity,Denmark,2,7.50
Cards Against Humanity,England,2,6.25
Cards Against Humanity,Estonia,1,4.00
Cards Against Humanity,Finland,8,5.58
Cards Against Humanity,Germany,9,5.39
Cards Against Humanity,Greece,5,7.20
Cards Against Humanity,Hungary,1,1.00
Cards Against Humanity,Iceland,2,7.75
Cards Against Humanity,India,2,5.50
Cards Against Humanity,Ireland,5,7.40
Cards Against Humanity,Israel,2,8.25
Cards Against Humanity,Italy,5,7.40
Cards Against Humanity,Latvia,2,7.00
Cards Against Humanity,Lithuania,1,5.00
Cards Against Humanity,Macedonia,1,8.00
Cards Against Humanity,Malaysia,1,6.00
Cards Against Humanity,Mexico,6,7.67
Cards Against Humanity,Netherlands,9,7.47
Cards Against Humanity,New Zealand,6,8.17
Cards Against Humanity,Norway,2,3.00
Cards Against Humanity,Peru,1,5.00
Cards Against Humanity,Philippines,5,6.70
Cards Against Humanity,Poland,2,5.75
Cards Against Humanity,Romania,5,6.30
Cards Against Humanity,Russia,1,3.00
Cards Against Humanity,Scotland,3,7.00
Cards Against Humanity,Slovakia,1,6.00
Cards Against Humanity,Slovenia,1,10.00
Cards Against Humanity,South Africa,2,1.00
Cards Against Humanity,South Korea,1,6.00
Cards Against Humanity,Spain,15,7.37
Cards Against Humanity,Sri Lanka,1,6.00
Cards Against Humanity,Sweden,11,7.00
Cards Against Humanity,Switzerland,2,7.00
Cards Against Humanity,Taiwan,1,9.00
Cards Against Humanity,Thailand,1,5.00
Cards Against Humanity,Turkey,2,8.00
Cards Against Humanity,United Kingdom,90,6.37
Cards Against Humanity,USA,795,6.77
Cards Against Humanity,Venezuela,1,7.00
Castles of Mad King Ludwig,American Samoa,1,9.50
Castles of Mad King Ludwig,Argentina,6,8.35
Castles of Mad King Ludwig,Australia,31,7.72
Castles of Mad King Ludwig,Austria,3,7.50
Castles of Mad King Ludwig,Belarus,1,8.00
Castles of Mad King Ludwig,Belgium,3,7.33
Castles of Mad King Ludwig,Brazil,16,8.38
Castles of Mad King Ludwig,Canada,80,8.03
Castles of Mad King Ludwig,Chile,3,6.67
Castles of Mad King Ludwig,China,10,7.44
Castles of Mad King Ludwig,Colombia,1,10.00
Castles of Mad King Ludwig,Croatia,1,6.50
Castles of Mad King Ludwig,Czech Republic,9,8.56
Castles of Mad King Ludwig,Denmark,7,8.14
Castles of Mad King Ludwig,England,6,7.58
Castles of Mad King Ludwig,Estonia,2,9.65
Castles of Mad King Ludwig,Finland,13,7.98
Castles of Mad King Ludwig,France,5,7.15
Castles of Mad King Ludwig,Germany,29,7.43
Castles of Mad King Ludwig,Greece,7,8.94
Castles of Mad King Ludwig,Hong Kong,3,8.00
Castles of Mad King Ludwig,Hungary,4,8.00
Castles of Mad King Ludwig,Iceland,1,7.50
Castles of Mad King Ludwig,India,3,8.17
Castles of Mad King Ludwig,Ireland,3,7.83
Castles of Mad King Ludwig,Israel,2,7.00
Castles of Mad King Ludwig,Italy,8,8.10
Castles of Mad King Ludwig,Japan,11,6.64
Castles of Mad King Ludwig,Latvia,4,8.38
Castles of Mad King Ludwig,Lebanon,1,8.00
Castles of Mad King Ludwig,Lithuania,4,7.75
Castles of Mad King Ludwig,Malaysia,2,8.25
Castles of Mad King Ludwig,Mexico,6,7.50
Castles of Mad King Ludwig,Netherlands,9,8.06
Castles of Mad King Ludwig,New Zealand,4,6.38
Castles of Mad King Ludwig,Norway,6,7.08
Castles of Mad King Ludwig,Philippines,2,7.50
Castles of Mad King Ludwig,Poland,21,7.62
Castles of Mad King Ludwig,Portugal,6,7.85
Castles of Mad King Ludwig,Romania,3,8.20
Castles of Mad King Ludwig,Russia,9,7.50
Castles of Mad King Ludwig,Serbia,1,8.50
Castles of Mad King Ludwig,Singapore,1,9.00
Castles of Mad King Ludwig,Slovakia,1,9.00
Castles of Mad King Ludwig,South Africa,2,8.00
Castles of Mad King Ludwig,South Korea,9,7.74
Castles of Mad King Ludwig,Spain,29,8.04
Castles of Mad King Ludwig,Sweden,16,6.90
Castles of Mad King Ludwig,Switzerland,2,7.75
Castles of Mad King Ludwig,Taiwan,6,7.30
Castles of Mad King Ludwig,Thailand,2,10.00
Castles of Mad King Ludwig,Ukraine,4,9.15
Castles of Mad King Ludwig,United Kingdom,59,7.94
Castles of Mad King Ludwig,USA,520,7.98
Castles of Mad King Ludwig,Vietnam,3,7.83
Castles of Mad King Ludwig,Wales,2,9.00
Catan,Albania,1,8.50
Catan,American Samoa,1,9.00
Catan,Andorra,3,9.33
Catan,Argentina,59,9.28
Catan,Australia,318,9.17
Catan,Austria,44,9.21
Catan,Azerbaijan,1,9.00
Catan,Bahamas,2,8.75
Catan,Bahrain,1,8.20
Catan,Belarus,7,9.36
Catan,Belgium,151,9.10
Catan,Bolivia,3,9.17
Catan,Bosnia and Herzegovina,1,10.00
Catan,Brazil,249,9.23
Catan,Brunei,1,10.00
Catan,Bulgaria,23,9.26
Catan,Canada,1089,9.13
Catan,Chile,63,9.34
Catan,China,54,9.27
Catan,Colombia,21,9.25
Catan,Costa Rica,6,9.50
Catan,Croatia,28,9.36
Catan,Cyprus,2,8.75
Catan,Czech Republic,50,9.25
Catan,Denmark,77,9.14
Catan,Dominican Republic,1,9.00
Catan,Ecuador,3,9.33
Catan,England,43,9.10
Catan,Estonia,23,9.42
Catan,Fiji,1,9.00
Catan,Finland,104,8.97
Catan,France,93,9.24
Catan,French Polynesia,1,10.00
Catan,Germany,482,9.32
Catan,Greece,124,9.18
Catan,Guam,1,9.00
Catan,Guatemala,4,9.25
Catan,Guernsey,1,8.20
Catan,Honduras,1,8.40
Catan,Hong Kong,33,9.06
Catan,Hungary,70,9.23
Catan,Iceland,13,9.23
Catan,India,19,9.37
Catan,Indonesia,22,9.25
Catan,Iran,7,9.57
Catan,Iraq,1,9.00
Catan,Ireland,33,9.09
Catan,Isle of Man,2,9.00
Catan,Israel,37,9.19
Catan,Italy,189,9.11
Catan,Japan,80,9.30
Catan,Kenya,1,8.50
Catan,Latvia,22,9.34
Catan,Lebanon,2,9.00
Catan,Lithuania,32,9.41
Catan,Luxembourg,5,9.40
Catan,Macedonia,4,9.50
Catan,Malaysia,23,9.01
Catan,Malta,3,9.00
Catan,Mexico,91,9.34
Catan,Moldova,3,9.33
Catan,Mongolia,1,9.00
Catan,Netherlands,170,9.09
Catan,New Zealand,78,9.13
Catan,Norway,56,9.06
Catan,Other-Eastern Europe,1,9.00
Catan,Other-Middle East,1,10.00
Catan,Panama,1,9.00
Catan,Paraguay,1,10.00
Catan,Peru,14,9.39
Catan,Philippines,18,9.34
Catan,Poland,292,9.26
Catan,Portugal,91,9.27
Catan,Puerto Rico,1,10.00
Catan,Qatar,2,9.40
Catan,Romania,61,9.27
Catan,Russia,62,9.36
Catan,Rwanda,1,9.00
Catan,Saint Barth�lemy,1,10.00
Catan,Saudi Arabia,3,9.33
Catan,Scotland,20,9.28
Catan,Serbia,26,9.44
Catan,Singapore,25,8.97
Catan,Slovakia,12,9.35
Catan,Slovenia,18,9.21
Catan,South Africa,28,9.33
Catan,South Korea,64,9.16
Catan,Spain,483,9.18
Catan,Sri Lanka,1,9.00
Catan,Sweden,206,9.18
Catan,Switzerland,45,9.28
Catan,Taiwan,62,9.15
Catan,Thailand,25,9.33
Catan,Trinidad and Tobago,1,9.00
Catan,Turkey,13,9.27
Catan,Turks and Caicos Islands,1,9.00
Catan,Uganda,1,8.50
Catan,Ukraine,23,9.38
Catan,United Arab Emirates,2,10.00
Catan,United Kingdom,679,9.19
Catan,USA,6114,9.22
Catan,Uruguay,8,9.25
Catan,Venezuela,7,9.41
Catan,Vietnam,4,9.41
Catan,Wales,7,9.36
Catan,Zambia,1,9.00
Catan Card Game,Argentina,4,8.50
Catan Card Game,Australia,41,6.79
Catan Card Game,Austria,15,7.51
Catan Card Game,Belgium,45,7.69
Catan Card Game,Brazil,11,7.29
Catan Card Game,Brunei,1,8.00
Catan Card Game,Bulgaria,1,8.00
Catan Card Game,Canada,188,7.08
Catan Card Game,Chile,5,6.60
Catan Card Game,China,5,8.00
Catan Card Game,Colombia,1,6.50
Catan Card Game,Czech Republic,12,6.92
Catan Card Game,Denmark,5,8.20
Catan Card Game,England,8,7.25
Catan Card Game,Estonia,1,8.00
Catan Card Game,Finland,14,6.90
Catan Card Game,France,27,7.41
Catan Card Game,French Polynesia,1,10.00
Catan Card Game,Germany,186,7.87
Catan Card Game,Greece,15,7.53
Catan Card Game,Hong Kong,4,6.88
Catan Card Game,Hungary,14,6.97
Catan Card Game,India,2,5.00
Catan Card Game,Indonesia,1,7.00
Catan Card Game,Ireland,3,8.33
Catan Card Game,Israel,2,7.00
Catan Card Game,Italy,45,7.26
Catan Card Game,Japan,7,6.57
Catan Card Game,Latvia,1,6.00
Catan Card Game,Lithuania,2,8.50
Catan Card Game,Luxembourg,1,9.00
Catan Card Game,Malaysia,1,7.50
Catan Card Game,Mexico,3,6.17
Catan Card Game,Netherlands,82,7.67
Catan Card Game,New Zealand,13,6.74
Catan Card Game,Norway,13,7.19
Catan Card Game,Philippines,1,8.00
Catan Card Game,Poland,29,7.12
Catan Card Game,Portugal,3,6.33
Catan Card Game,Qatar,1,2.00
Catan Card Game,Romania,8,7.63
Catan Card Game,Russia,13,7.08
Catan Card Game,Rwanda,1,8.00
Catan Card Game,Scotland,2,8.25
Catan Card Game,Serbia,2,10.00
Catan Card Game,Singapore,1,7.50
Catan Card Game,Slovakia,1,4.00
Catan Card Game,Slovenia,4,6.43
Catan Card Game,South Africa,2,8.50
Catan Card Game,South Korea,6,6.17
Catan Card Game,Spain,65,7.00
Catan Card Game,Sweden,18,6.87
Catan Card Game,Switzerland,13,7.42
Catan Card Game,Taiwan,4,7.80
Catan Card Game,Ukraine,2,5.50
Catan Card Game,United Kingdom,95,7.03
Catan Card Game,USA,884,7.09
Catan Card Game,Uruguay,1,8.00
Catan Card Game,Wales,1,9.00
Caverna: The Cave Farmers,Argentina,6,8.33
Caverna: The Cave Farmers,Australia,34,8.31
Caverna: The Cave Farmers,Austria,3,9.67
Caverna: The Cave Farmers,Belarus,1,6.00
Caverna: The Cave Farmers,Belgium,13,8.54
Caverna: The Cave Farmers,Brazil,34,8.74
Caverna: The Cave Farmers,Bulgaria,3,8.00
Caverna: The Cave Farmers,Canada,110,8.54
Caverna: The Cave Farmers,Chile,5,8.20
Caverna: The Cave Farmers,China,7,7.70
Caverna: The Cave Farmers,Colombia,3,8.83
Caverna: The Cave Farmers,Croatia,1,6.30
Caverna: The Cave Farmers,Czech Republic,6,8.50
Caverna: The Cave Farmers,Denmark,8,7.44
Caverna: The Cave Farmers,England,10,8.40
Caverna: The Cave Farmers,Estonia,3,8.48
Caverna: The Cave Farmers,Finland,7,8.21
Caverna: The Cave Farmers,France,14,8.98
Caverna: The Cave Farmers,Germany,58,8.50
Caverna: The Cave Farmers,Greece,12,9.15
Caverna: The Cave Farmers,Honduras,1,9.00
Caverna: The Cave Farmers,Hong Kong,4,7.88
Caverna: The Cave Farmers,Hungary,7,8.21
Caverna: The Cave Farmers,Iceland,3,7.83
Caverna: The Cave Farmers,India,3,9.17
Caverna: The Cave Farmers,Indonesia,1,8.00
Caverna: The Cave Farmers,Ireland,2,9.50
Caverna: The Cave Farmers,Israel,6,8.40
Caverna: The Cave Farmers,Italy,29,8.27
Caverna: The Cave Farmers,Japan,19,8.55
Caverna: The Cave Farmers,Latvia,3,8.00
Caverna: The Cave Farmers,Lithuania,6,8.83
Caverna: The Cave Farmers,Luxembourg,1,8.00
Caverna: The Cave Farmers,Malaysia,1,7.50
Caverna: The Cave Farmers,Mexico,6,8.42
Caverna: The Cave Farmers,Netherlands,14,8.51
Caverna: The Cave Farmers,New Zealand,7,7.43
Caverna: The Cave Farmers,Norway,8,8.19
Caverna: The Cave Farmers,Philippines,4,8.25
Caverna: The Cave Farmers,Poland,39,8.47
Caverna: The Cave Farmers,Portugal,6,8.58
Caverna: The Cave Farmers,Qatar,1,8.00
Caverna: The Cave Farmers,Romania,5,9.76
Caverna: The Cave Farmers,Russia,6,8.11
Caverna: The Cave Farmers,Serbia,4,9.00
Caverna: The Cave Farmers,Singapore,1,4.00
Caverna: The Cave Farmers,Slovakia,1,10.00
Caverna: The Cave Farmers,South Africa,5,8.20
Caverna: The Cave Farmers,South Korea,13,8.61
Caverna: The Cave Farmers,Spain,46,7.84
Caverna: The Cave Farmers,Sweden,16,8.30
Caverna: The Cave Farmers,Switzerland,5,8.20
Caverna: The Cave Farmers,Taiwan,7,8.79
Caverna: The Cave Farmers,Thailand,5,8.00
Caverna: The Cave Farmers,Ukraine,5,8.00
Caverna: The Cave Farmers,United Kingdom,65,8.14
Caverna: The Cave Farmers,USA,495,8.44
Caverna: The Cave Farmers,Uruguay,1,9.00
Caverna: The Cave Farmers,Venezuela,2,8.50
Caverna: The Cave Farmers,Vietnam,1,5.00
Caverna: The Cave Farmers,Wales,2,9.00
Caylus,American Samoa,1,9.50
Caylus,Argentina,6,8.50
Caylus,Australia,51,7.65
Caylus,Austria,15,9.00
Caylus,Azerbaijan,1,8.00
Caylus,Belgium,42,8.52
Caylus,Brazil,39,8.71
Caylus,Bulgaria,1,8.00
Caylus,Canada,185,8.01
Caylus,Chile,4,8.15
Caylus,China,22,8.79
Caylus,Colombia,4,7.88
Caylus,Croatia,1,9.00
Caylus,Czech Republic,12,7.53
Caylus,Denmark,12,7.42
Caylus,Ecuador,1,8.00
Caylus,England,12,7.71
Caylus,Estonia,6,8.30
Caylus,Finland,35,7.75
Caylus,France,39,8.26
Caylus,Germany,155,8.53
Caylus,Greece,28,8.55
Caylus,Hong Kong,11,8.38
Caylus,Hungary,11,8.07
Caylus,Iceland,1,8.50
Caylus,India,3,8.17
Caylus,Indonesia,3,9.08
Caylus,Ireland,7,7.57
Caylus,Isle of Man,1,9.00
Caylus,Israel,8,8.44
Caylus,Italy,69,8.47
Caylus,Japan,23,7.40
Caylus,Latvia,7,8.43
Caylus,Lithuania,5,8.80
Caylus,Luxembourg,3,8.00
Caylus,Malaysia,9,7.13
Caylus,Mexico,4,9.25
Caylus,Mongolia,1,7.00
Caylus,Netherlands,30,8.18
Caylus,New Zealand,17,7.37
Caylus,Norway,12,8.75
Caylus,Peru,2,9.25
Caylus,Philippines,4,8.13
Caylus,Poland,61,8.37
Caylus,Portugal,7,8.03
Caylus,Qatar,1,5.40
Caylus,Romania,4,9.00
Caylus,Russia,9,7.56
Caylus,Scotland,2,8.50
Caylus,Serbia,2,9.40
Caylus,Singapore,9,7.78
Caylus,Slovakia,2,7.00
Caylus,Slovenia,5,9.08
Caylus,South Africa,5,7.70
Caylus,South Korea,27,8.35
Caylus,Spain,136,8.40
Caylus,Sweden,29,7.94
Caylus,Switzerland,12,9.08
Caylus,Taiwan,24,8.40
Caylus,Thailand,5,8.00
Caylus,Turkey,1,9.00
Caylus,Ukraine,3,8.20
Caylus,United Kingdom,104,7.59
Caylus,USA,839,7.76
Caylus,Venezuela,2,10.00
Caylus,Wales,2,10.00
Chess,American Samoa,1,8.00
Chess,Argentina,10,8.30
Chess,Australia,66,6.99
Chess,Austria,8,6.88
Chess,Bahamas,1,9.00
Chess,Belgium,29,7.79
Chess,Bolivia,1,8.00
Chess,Brazil,33,8.34
Chess,Bulgaria,2,6.50
Chess,Canada,212,7.24
Chess,Chile,11,7.86
Chess,China,11,7.97
Chess,Colombia,2,6.50
Chess,Croatia,4,8.25
Chess,Czech Republic,5,6.90
Chess,Denmark,16,5.88
Chess,England,8,7.19
Chess,Estonia,3,7.33
Chess,Finland,30,6.58
Chess,France,15,7.51
Chess,Germany,82,7.31
Chess,Greece,26,8.76
Chess,Guatemala,1,10.00
Chess,Hong Kong,5,8.50
Chess,Hungary,12,8.25
Chess,Iceland,2,9.00
Chess,India,3,8.33
Chess,Indonesia,3,8.50
Chess,Ireland,8,6.38
Chess,Isle of Man,1,6.00
Chess,Israel,5,8.80
Chess,Italy,41,8.22
Chess,Japan,10,5.65
Chess,Latvia,7,8.00
Chess,Lithuania,5,6.80
Chess,Luxembourg,1,9.00
Chess,Malaysia,5,5.90
Chess,Mexico,14,8.02
Chess,Moldova,2,7.50
Chess,Netherlands,41,7.41
Chess,New Zealand,19,7.27
Chess,Norway,21,7.12
Chess,Other-Middle East,1,5.00
Chess,Peru,4,6.50
Chess,Philippines,3,6.67
Chess,Poland,47,7.61
Chess,Portugal,17,7.75
Chess,Qatar,2,8.60
Chess,Romania,4,9.00
Chess,Russia,11,7.70
Chess,Saudi Arabia,1,9.00
Chess,Scotland,2,8.25
Chess,Serbia,4,7.50
Chess,Singapore,6,7.83
Chess,Slovakia,2,8.50
Chess,Slovenia,4,7.75
Chess,South Africa,2,7.00
Chess,South Korea,11,6.91
Chess,Spain,91,8.22
Chess,Sweden,36,6.50
Chess,Switzerland,9,8.56
Chess,Taiwan,4,8.38
Chess,Thailand,5,6.60
Chess,Turkey,2,6.00
Chess,Turks and Caicos Islands,1,8.00
Chess,Uganda,1,5.50
Chess,Ukraine,2,4.00
Chess,United Kingdom,111,7.11
Chess,USA,1214,7.34
Chess,Venezuela,1,10.00
Chess,Vietnam,1,6.00
Chess,Wales,2,5.50
Citadels,Albania,1,7.50
Citadels,American Samoa,1,9.00
Citadels,Andorra,1,8.00
Citadels,Argentina,21,7.56
Citadels,Australia,99,7.38
Citadels,Austria,18,7.78
Citadels,Belarus,3,9.17
Citadels,Belgium,84,7.96
Citadels,Bolivia,1,9.00
Citadels,Brazil,85,7.80
Citadels,Brunei,1,7.00
Citadels,Bulgaria,6,7.17
Citadels,Canada,319,7.56
Citadels,Chile,17,8.29
Citadels,China,34,7.92
Citadels,Colombia,6,7.25
Citadels,Croatia,9,8.17
Citadels,Czech Republic,28,7.39
Citadels,Denmark,20,7.04
Citadels,England,12,7.73
Citadels,Estonia,11,7.39
Citadels,Finland,43,7.44
Citadels,France,48,7.88
Citadels,Germany,150,7.81
Citadels,Greece,50,7.61
Citadels,Guatemala,1,10.00
Citadels,Hong Kong,19,8.11
Citadels,Hungary,28,7.83
Citadels,Iceland,1,7.50
Citadels,India,7,7.57
Citadels,Indonesia,6,7.67
Citadels,Ireland,11,8.27
Citadels,Israel,22,7.93
Citadels,Italy,92,7.70
Citadels,Japan,41,7.13
Citadels,Latvia,12,8.03
Citadels,Lebanon,1,7.00
Citadels,Lithuania,15,7.48
Citadels,Luxembourg,4,7.70
Citadels,Malaysia,11,7.38
Citadels,Malta,1,7.50
Citadels,Mexico,10,7.92
Citadels,Moldova,1,8.00
Citadels,Mongolia,1,9.00
Citadels,Netherlands,76,7.61
Citadels,New Zealand,26,7.46
Citadels,Norway,20,7.20
Citadels,Other-Eastern Europe,1,8.00
Citadels,Peru,3,7.33
Citadels,Philippines,7,8.71
Citadels,Poland,104,7.80
Citadels,Portugal,12,7.42
Citadels,Qatar,1,6.40
Citadels,Romania,19,8.52
Citadels,Russia,32,7.86
Citadels,Saudi Arabia,2,8.50
Citadels,Scotland,8,7.19
Citadels,Serbia,6,7.92
Citadels,Singapore,15,7.58
Citadels,Slovakia,2,5.75
Citadels,Slovenia,9,8.37
Citadels,South Africa,5,7.60
Citadels,South Korea,41,7.25
Citadels,Spain,249,7.78
Citadels,Sweden,61,7.34
Citadels,Switzerland,15,7.73
Citadels,Taiwan,41,8.33
Citadels,Thailand,11,8.12
Citadels,Turkey,4,8.38
Citadels,Turks and Caicos Islands,1,7.00
Citadels,Ukraine,12,8.00
Citadels,United Kingdom,190,7.47
Citadels,USA,1582,7.54
Citadels,Uruguay,1,7.50
Citadels,Venezuela,4,9.25
Citadels,Vietnam,2,6.88
Citadels,Wales,3,8.67
Clue,Argentina,6,6.50
Clue,Australia,44,5.93
Clue,Austria,6,5.25
Clue,Belgium,16,6.13
Clue,Brazil,34,6.13
Clue,Brunei,1,8.00
Clue,Bulgaria,2,8.00
Clue,Canada,171,6.02
Clue,Chile,7,5.37
Clue,China,5,4.30
Clue,Colombia,1,5.00
Clue,Costa Rica,3,6.33
Clue,Croatia,4,5.75
Clue,Czech Republic,2,5.50
Clue,Denmark,6,5.88
Clue,England,4,5.95
Clue,Estonia,1,9.00
Clue,Finland,10,5.65
Clue,France,12,6.44
Clue,Germany,59,6.19
Clue,Greece,8,6.99
Clue,Guatemala,1,7.00
Clue,Honduras,1,7.00
Clue,Hong Kong,2,6.50
Clue,Hungary,2,7.00
Clue,Indonesia,1,4.00
Clue,Ireland,5,6.20
Clue,Isle of Man,2,6.00
Clue,Israel,7,6.79
Clue,Italy,31,5.68
Clue,Japan,15,5.61
Clue,Latvia,2,3.50
Clue,Lithuania,1,7.00
Clue,Luxembourg,1,8.00
Clue,Macedonia,1,5.00
Clue,Malaysia,4,5.00
Clue,Mexico,6,6.10
Clue,Netherlands,23,5.78
Clue,New Zealand,8,5.55
Clue,Norway,12,5.71
Clue,Other-Middle East,1,5.00
Clue,Philippines,5,6.20
Clue,Poland,18,5.67
Clue,Portugal,10,7.48
Clue,Romania,2,7.50
Clue,Russia,3,6.00
Clue,Saudi Arabia,1,6.00
Clue,Scotland,3,6.00
Clue,Serbia,5,6.60
Clue,Singapore,2,5.00
Clue,Slovenia,2,7.50
Clue,South Africa,2,4.50
Clue,South Korea,18,6.35
Clue,Spain,33,6.30
Clue,Sweden,17,5.35
Clue,Switzerland,3,6.00
Clue,Taiwan,5,7.40
Clue,Thailand,3,8.33
Clue,Ukraine,2,8.05
Clue,United Kingdom,72,6.03
Clue,USA,976,5.94
Clue,Venezuela,1,7.00
Codenames,Argentina,15,8.18
Codenames,Australia,83,7.89
Codenames,Austria,9,8.11
Codenames,Belarus,3,8.33
Codenames,Belgium,25,7.35
Codenames,Bolivia,1,7.00
Codenames,Brazil,32,8.54
Codenames,Bulgaria,9,7.94
Codenames,Canada,210,8.14
Codenames,Chile,11,7.14
Codenames,China,18,7.91
Codenames,Colombia,8,7.85
Codenames,Costa Rica,1,7.00
Codenames,Croatia,4,7.50
Codenames,Czech Republic,10,9.20
Codenames,Denmark,11,7.65
Codenames,Ecuador,1,8.00
Codenames,England,10,8.02
Codenames,Estonia,1,8.70
Codenames,Finland,11,8.15
Codenames,France,31,8.48
Codenames,Germany,130,7.80
Codenames,Greece,26,8.44
Codenames,Guernsey,1,8.80
Codenames,Hong Kong,9,8.29
Codenames,Hungary,13,7.61
Codenames,Iceland,2,9.00
Codenames,India,7,8.93
Codenames,Indonesia,5,8.80
Codenames,Ireland,13,8.38
Codenames,Isle of Man,1,9.00
Codenames,Israel,15,8.66
Codenames,Italy,46,7.77
Codenames,Japan,19,6.84
Codenames,Latvia,8,8.13
Codenames,Lithuania,7,7.07
Codenames,Luxembourg,2,8.50
Codenames,Macedonia,2,8.00
Codenames,Malaysia,3,7.83
Codenames,Malta,1,8.00
Codenames,Mexico,19,8.07
Codenames,Moldova,2,9.00
Codenames,Netherlands,31,8.00
Codenames,New Zealand,16,7.50
Codenames,Norway,10,7.31
Codenames,Other-Middle East,1,8.00
Codenames,Paraguay,1,8.00
Codenames,Peru,3,9.67
Codenames,Philippines,7,8.36
Codenames,Poland,73,8.35
Codenames,Portugal,20,7.98
Codenames,Qatar,1,8.20
Codenames,Romania,12,8.72
Codenames,Russia,12,7.83
Codenames,Saudi Arabia,2,8.00
Codenames,Scotland,3,7.50
Codenames,Serbia,8,6.88
Codenames,Singapore,1,7.50
Codenames,Slovakia,5,7.85
Codenames,Slovenia,3,8.33
Codenames,South Africa,8,8.35
Codenames,South Korea,19,7.64
Codenames,Spain,114,7.96
Codenames,Sweden,36,7.85
Codenames,Switzerland,15,7.50
Codenames,Taiwan,13,8.45
Codenames,Thailand,8,7.56
Codenames,Turks and Caicos Islands,1,8.00
Codenames,Uganda,1,8.00
Codenames,Ukraine,6,7.83
Codenames,United Kingdom,153,7.92
Codenames,USA,1153,8.08
Codenames,Uruguay,2,8.00
Codenames,Venezuela,1,9.00
Codenames,Vietnam,2,8.25
Codenames,Wales,2,7.50
Coloretto,American Samoa,1,7.00
Coloretto,Andorra,1,8.00
Coloretto,Argentina,10,7.25
Coloretto,Australia,43,7.05
Coloretto,Austria,7,7.86
Coloretto,Belarus,1,8.00
Coloretto,Belgium,16,6.60
Coloretto,Brazil,57,7.39
Coloretto,Bulgaria,1,6.00
Coloretto,Canada,121,7.30
Coloretto,Chile,11,7.43
Coloretto,China,6,7.07
Coloretto,Colombia,4,7.28
Coloretto,Croatia,3,6.47
Coloretto,Czech Republic,9,6.22
Coloretto,Denmark,5,5.60
Coloretto,England,5,7.00
Coloretto,Estonia,4,6.25
Coloretto,Finland,31,7.43
Coloretto,France,18,7.68
Coloretto,Germany,74,7.47
Coloretto,Greece,17,7.21
Coloretto,Hong Kong,11,6.91
Coloretto,Hungary,11,7.73
Coloretto,India,2,7.00
Coloretto,Indonesia,2,8.50
Coloretto,Israel,7,8.36
Coloretto,Italy,47,7.25
Coloretto,Japan,36,7.34
Coloretto,Latvia,5,7.10
Coloretto,Lithuania,5,7.60
Coloretto,Luxembourg,2,5.50
Coloretto,Malaysia,3,6.83
